quality_rule,waveform,action_id,action_code,excluded_participant_code,B,W,W_over_B,continuous_n90,integer_n90,boundary_nodes
unaltered_nonzero_primary,body_configuration,1,FA,12,1.18443290108,0.657620815366,0.555219983139,4.99697984825,5,0
unaltered_nonzero_primary,body_configuration,1,FA,13,1.14825387234,0.669216839227,0.582812612568,5.24531351311,6,0
unaltered_nonzero_primary,body_configuration,1,FA,14,1.18972985649,0.648401494192,0.544998926149,4.90499033534,5,0
unaltered_nonzero_primary,body_configuration,1,FA,15,1.1850272893,0.643241721887,0.542807518184,4.88526766365,5,0
unaltered_nonzero_primary,body_configuration,1,FA,16,1.16780614271,0.670830982366,0.574436935918,5.16993242326,6,0
unaltered_nonzero_primary,body_configuration,1,FA,17,1.13107612557,0.656769253555,0.580658753826,5.22592878443,6,0
unaltered_nonzero_primary,body_configuration,1,FA,18,1.18028833871,0.676374381408,0.57305859867,5.15752738803,6,0
unaltered_nonzero_primary,body_configuration,1,FA,19,1.15413159934,0.601663493537,0.521312728878,4.6918145599,5,0
unaltered_nonzero_primary,body_configuration,1,FA,20,1.15594089446,0.675140127867,0.584061115152,5.25655003637,6,0
unaltered_nonzero_primary,body_configuration,1,FA,21,1.18283467624,0.666453284984,0.563437391859,5.07093652673,6,0
unaltered_nonzero_primary,body_configuration,1,FA,22,1.08909050514,0.663313480204,0.60905267016,5.48147403144,6,0
unaltered_nonzero_primary,body_configuration,1,FA,23,1.19071964507,0.674456342598,0.566427492306,5.09784743076,6,0
unaltered_nonzero_primary,body_configuration,1,FA,24,1.18830237998,0.672658986348,0.56606718768,5.09460468912,6,0
unaltered_nonzero_primary,body_configuration,1,FA,25,1.16235244611,0.673514626806,0.579440968235,5.21496871411,6,0
unaltered_nonzero_primary,body_configuration,1,FA,26,1.19055330906,0.658769537902,0.553330567301,4.97997510571,5,0
unaltered_nonzero_primary,body_configuration,1,FA,27,1.15747676477,0.636372779986,0.549793135686,4.94813822118,5,0
unaltered_nonzero_primary,body_configuration,1,FA,28,1.10206469405,0.658008887715,0.597069202261,5.37362282035,6,0
unaltered_nonzero_primary,body_configuration,1,FA,29,1.18980156818,0.67059613277,0.563620145331,5.07258130798,6,0
unaltered_nonzero_primary,body_configuration,1,FA,30,1.17585636463,0.681500533069,0.579578045047,5.21620240542,6,0
unaltered_nonzero_primary,body_configuration,2,FD,1,4.56388899561,2.90858365709,0.637303768757,5.73573391881,6,0
unaltered_nonzero_primary,body_configuration,2,FD,2,4.80943045088,2.82992642602,0.588411965808,5.29570769227,6,0
unaltered_nonzero_primary,body_configuration,2,FD,3,4.63604949537,2.84020853999,0.612635508492,5.51371957642,6,0
unaltered_nonzero_primary,body_configuration,2,FD,4,4.82639147759,2.33210647117,0.483198779461,4.34878901515,5,0
unaltered_nonzero_primary,body_configuration,2,FD,5,4.74032608313,2.84456270325,0.600077432093,5.40069688884,6,0
unaltered_nonzero_primary,body_configuration,2,FD,6,4.7179335124,2.86435711992,0.607121128856,5.4640901597,6,0
unaltered_nonzero_primary,body_configuration,2,FD,7,4.73281543918,2.85296691822,0.602805445276,5.42524900748,6,0
unaltered_nonzero_primary,body_configuration,2,FD,8,4.77549637307,2.86888001799,0.60075011975,5.40675107775,6,0
unaltered_nonzero_primary,body_configuration,2,FD,9,4.80641623133,2.88717899148,0.600692668408,5.40623401567,6,0
unaltered_nonzero_primary,body_configuration,2,FD,10,4.62112654423,2.83096239099,0.612613042273,5.51351738045,6,0
unaltered_nonzero_primary,body_configuration,2,FD,11,4.47831970472,2.73044405572,0.609702798316,5.48732518484,6,0
unaltered_nonzero_primary,body_configuration,2,FD,12,4.83389501712,2.78683541588,0.576519640168,5.18867676151,6,0
unaltered_nonzero_primary,body_configuration,2,FD,13,4.64757794424,2.76216284404,0.594323081222,5.34890773099,6,0
unaltered_nonzero_primary,body_configuration,2,FD,14,4.74378823926,2.84768089744,0.600296799481,5.40267119533,6,0
unaltered_nonzero_primary,body_configuration,2,FD,15,4.77830004091,2.78597365413,0.583047031429,5.24742328286,6,0
unaltered_nonzero_primary,body_configuration,2,FD,16,4.76390900475,2.83604077963,0.595317999735,5.35786199762,6,0
