waveform,action_id,action_code,trials,R_L2_independence
body_configuration,3,FP,25,0.9855475491350282
body_configuration,3,FP,26,0.9860956837279988
body_configuration,3,FP,27,0.9866037596802115
body_configuration,3,FP,28,0.9870760135191757
body_configuration,3,FP,29,0.9875161047187269
body_configuration,3,FP,30,0.9879272107135292
body_configuration,3,FP,31,0.9883121037386164
body_configuration,3,FP,32,0.9886732134247075
body_configuration,3,FP,33,0.9890126781376021
body_configuration,3,FP,34,0.9893323873543303
body_configuration,3,FP,35,0.9896340168501228
body_configuration,3,FP,36,0.989919058080006
body_configuration,3,FP,37,0.9901888428425607
body_configuration,3,FP,38,0.990444564086613
body_configuration,3,FP,39,0.9906872935467076
body_configuration,3,FP,40,0.9909179967572846
body_configuration,3,FP,41,0.991137545889132
body_configuration,3,FP,42,0.9913467307679271
body_configuration,3,FP,43,0.991546268368305
body_configuration,3,FP,44,0.9917368110239793
body_configuration,3,FP,45,0.991918953552026
body_configuration,3,FP,46,0.9920932394552598
body_configuration,3,FP,47,0.9922601663389475
body_configuration,3,FP,48,0.992420190655563
body_configuration,3,FP,49,0.992573731872867
body_configuration,3,FP,50,0.9927211761454577
body_configuration,4,BA,1,0.5857674114745446
body_configuration,4,BA,2,0.738780993020738
body_configuration,4,BA,3,0.8092443261108289
body_configuration,4,BA,4,0.8497688851972938
body_configuration,4,BA,5,0.876092145123658
body_configuration,4,BA,6,0.8945661063372123
body_configuration,4,BA,7,0.9082460952263172
body_configuration,4,BA,8,0.918783845914522
body_configuration,4,BA,9,0.9271504676075933
body_configuration,4,BA,10,0.9339542808713296
body_configuration,4,BA,11,0.9395957606625301
body_configuration,4,BA,12,0.9443493191870596
body_configuration,4,BA,13,0.9484092901629739
body_configuration,4,BA,14,0.9519171531370009
body_configuration,4,BA,15,0.9549783583477953
body_configuration,4,BA,16,0.9576731093195289
body_configuration,4,BA,17,0.9600634918174388
body_configuration,4,BA,18,0.9621983163137003
body_configuration,4,BA,19,0.964116486126611
body_configuration,4,BA,20,0.9658493896252222
body_configuration,4,BA,21,0.9674226312131414
body_configuration,4,BA,22,0.9688573049278904
body_configuration,4,BA,23,0.9701709457074549
body_configuration,4,BA,24,0.9713782496469264
body_configuration,4,BA,25,0.9724916261486898
body_configuration,4,BA,26,0.9735216260271933
body_configuration,4,BA,27,0.9744772769074139
body_configuration,4,BA,28,0.97536634852267
body_configuration,4,BA,29,0.9761955644298382
body_configuration,4,BA,30,0.9769707723566549
body_configuration,4,BA,31,0.9776970823139076
body_configuration,4,BA,32,0.9783789793714929
body_configuration,4,BA,33,0.9790204163599125
body_configuration,4,BA,34,0.9796248905460042
body_configuration,4,BA,35,0.9801955074245783
body_configuration,4,BA,36,0.9807350340829382
body_configuration,4,BA,37,0.9812459440739878
body_configuration,4,BA,38,0.9817304553335562
body_configuration,4,BA,39,0.9821905623681753
body_configuration,4,BA,40,0.9826280636985683
body_configuration,4,BA,41,0.9830445853551111
body_configuration,4,BA,42,0.9834416010723781
body_configuration,4,BA,43,0.9838204497114357
body_configuration,4,BA,44,0.9841823503439471
body_configuration,4,BA,45,0.9845284153561812
body_configuration,4,BA,46,0.984859661869679
body_configuration,4,BA,47,0.9851770217255759
body_configuration,4,BA,48,0.9854813502390017
body_configuration,4,BA,49,0.985773433896766
body_configuration,4,BA,50,0.9860539971442006
body_configuration,5,BD,1,0.5323538480835345
body_configuration,5,BD,2,0.6948184308073913
body_configuration,5,BD,3,0.7735049117196563
body_configuration,5,BD,4,0.8199325876771213
body_configuration,5,BD,5,0.8505643728020197
body_configuration,5,BD,6,0.8722895624457415
body_configuration,5,BD,7,0.8884996596312147
body_configuration,5,BD,8,0.9010581965825952
body_configuration,5,BD,9,0.9110741206429664
body_configuration,5,BD,10,0.9192486198295748
body_configuration,5,BD,11,0.9260467611079218
body_configuration,5,BD,12,0.9317891633239507
body_configuration,5,BD,13,0.936704037641285
body_configuration,5,BD,14,0.9409582417448997
body_configuration,5,BD,15,0.9446765995729823
body_configuration,5,BD,16,0.9479543532148222
body_configuration,5,BD,17,0.9508654359571788
body_configuration,5,BD,18,0.9534681159686704
body_configuration,5,BD,19,0.9558089365260674
body_configuration,5,BD,20,0.9579255239075822
body_configuration,5,BD,21,0.9598486252425875
body_configuration,5,BD,22,0.9616036119239711
body_configuration,5,BD,23,0.9632116052541744
body_configuration,5,BD,24,0.9646903306162657
body_configuration,5,BD,25,0.9660547736027654
body_configuration,5,BD,26,0.9673176896786959
body_configuration,5,BD,27,0.9684900041549505
body_configuration,5,BD,28,0.9695811290602407
body_configuration,5,BD,29,0.9705992163808379
body_configuration,5,BD,30,0.9715513620932315
body_configuration,5,BD,31,0.9724437717947955
body_configuration,5,BD,32,0.9732818961084566
body_configuration,5,BD,33,0.97407054210669
body_configuration,5,BD,34,0.9748139655676898
body_configuration,5,BD,35,0.9755159478034225
body_configuration,5,BD,36,0.9761798599880113
body_configuration,5,BD,37,0.9768087172964148
body_configuration,5,BD,38,0.9774052246880386
body_configuration,5,BD,39,0.9779718158018712
body_configuration,5,BD,40,0.978510686142726
body_configuration,5,BD,41,0.9790238215128293
body_configuration,5,BD,42,0.9795130224649657
body_configuration,5,BD,43,0.9799799254118658
body_configuration,5,BD,44,0.9804260209133846
body_configuration,5,BD,45,0.9808526695720792
body_configuration,5,BD,46,0.9812611158942988
body_configuration,5,BD,47,0.9816525004142421
body_configuration,5,BD,48,0.9820278703297437
body_configuration,5,BD,49,0.9823881888586559
body_configuration,5,BD,50,0.9827343434918497
body_configuration,6,BP,1,0.7211237982680516
body_configuration,6,BP,2,0.8379685400826026
body_configuration,6,BP,3,0.8858116588475775
body_configuration,6,BP,4,0.9118420928411999
body_configuration,6,BP,5,0.9282078654057008
body_configuration,6,BP,6,0.9394487033651052
body_configuration,6,BP,7,0.9476460169475436
body_configuration,6,BP,8,0.9538884997412167
body_configuration,6,BP,9,0.9588009162632605
body_configuration,6,BP,10,0.962767429859439
body_configuration,6,BP,11,0.9660372525653055
body_configuration,6,BP,12,0.9687791192776416
body_configuration,6,BP,13,0.971111346316987
body_configuration,6,BP,14,0.9731193540320491
body_configuration,6,BP,15,0.9748663565251037
body_configuration,6,BP,16,0.9764001373338905
body_configuration,6,BP,17,0.9777574868874968
body_configuration,6,BP,18,0.9789671919209973
body_configuration,6,BP,19,0.9800520996957514
body_configuration,6,BP,20,0.9810305747007287
body_configuration,6,BP,21,0.981917546679385
body_configuration,6,BP,22,0.9827252777685775
body_configuration,6,BP,23,0.9834639328235406
body_configuration,6,BP,24,0.9841420094226652
body_configuration,6,BP,25,0.9847666662432315
body_configuration,6,BP,26,0.9853439767687445
body_configuration,6,BP,27,0.985879127412988
body_configuration,6,BP,28,0.9863765737673088
body_configuration,6,BP,29,0.9868401649462951
body_configuration,6,BP,30,0.9872732433808227
body_configuration,6,BP,31,0.9876787255343007
body_configuration,6,BP,32,0.9880591676653367
body_configuration,6,BP,33,0.9884168197720536
body_configuration,6,BP,34,0.9887536701238797
body_configuration,6,BP,35,0.9890714822427474
body_configuration,6,BP,36,0.9893718257862648
body_configuration,6,BP,37,0.9896561024746104
body_configuration,6,BP,38,0.9899255679649471
body_configuration,6,BP,39,0.9901813503935859
body_configuration,6,BP,40,0.990424466163458
body_configuration,6,BP,41,0.9906558334428116
body_configuration,6,BP,42,0.9908762837531201
body_configuration,6,BP,43,0.9910865719544829
body_configuration,6,BP,44,0.9912873848812459
body_configuration,6,BP,45,0.9914793488360149
body_configuration,6,BP,46,0.9916630361143397
body_configuration,6,BP,47,0.9918389707032579
body_configuration,6,BP,48,0.9920076332732106
body_configuration,6,BP,49,0.9921694655634945
body_configuration,6,BP,50,0.9923248742454939
